PartyId,direction_flag,prob_consolidation,prob_outflow_risk,prob_neutral,action_priority_score,total_external_balance,total_cytd_inflow,total_cytd_outflow,has_large_withdrawal,has_rollover,has_external_account,tenure_years,PartyAge
22214414,Outflow Risk,0.0,0.9748,0.0252,0.9748,0.0,0.0,331983.339999999,1,0,0,3.3945205479452,36
890458,Outflow Risk,0.0,0.9745,0.0255,0.9745,0.0,0.0,235000.0,1,0,0,10.89589041,73
1898051,Outflow Risk,0.0,0.9744,0.0256,0.9744,0.0,0.0,590000.0,1,0,0,14.14794521,70
3343267,Outflow Risk,0.0,0.9744,0.0256,0.9744,0.0,0.0,250000.0,1,0,0,9.95068493150685,60
31014787,Outflow Risk,0.0,0.9743,0.0257,0.9743,0.0,0.0,366666.68,1,0,0,1.01369863013698,40
22933014,Outflow Risk,0.0,0.9742,0.0258,0.9742,0.0,0.0,4472057.93,1,0,0,3.06849315068493,57
29000280,Outflow Risk,0.0,0.9741,0.0259,0.9741,0.0,0.0,560597.72,1,0,0,1.46301369863013,71
3857747,Outflow Risk,0.0,0.9737,0.0263,0.9737,0.0,0.0,110883.05,1,0,0,8.47123287671232,73
325766,Outflow Risk,0.0,0.9729,0.0271,0.9729,0.0,0.0,3028067.5,1,0,0,10.58082192,60
24734869,Outflow Risk,0.0,0.972,0.028,0.972,0.0,0.0,1251944.78,1,0,0,2.66575342465753,75
35203844,Outflow Risk,0.0,0.9716,0.0284,0.9716,0.0,0.0,124648.72,1,0,0,0.441095890410958,52
5662178,Outflow Risk,0.0,0.9715,0.0285,0.9715,0.0,0.0,1328400.0,1,0,0,7.32876712328767,74
5555060,Outflow Risk,0.0,0.9715,0.0285,0.9715,0.0,0.0,310666.68,1,0,0,7.4,66
18156621,Outflow Risk,0.0,0.9709,0.0291,0.9709,0.0,0.0,3180795.0,1,0,0,7.42739726027397,85
3182024,Outflow Risk,0.0,0.9707,0.0293,0.9707,0.0,0.0,210313.74,1,0,0,10.47671233,51
1569182,Outflow Risk,0.0,0.9706,0.0294,0.9706,0.0,0.0,852006.25,1,0,0,15.54794521,67
4013013,Outflow Risk,0.0,0.9705,0.0295,0.9705,0.0,0.0,351487.13,1,0,0,36.6082191780821,83
28020885,Outflow Risk,0.0,0.9705,0.0295,0.9705,0.0,0.0,122455.92,1,0,0,1.77808219178082,57
23128457,Outflow Risk,0.0,0.9699,0.0301,0.9699,0.0,0.0,150000.01,1,0,0,0.926027397260273,67
6000147,Outflow Risk,0.0,0.9696,0.0304,0.9696,0.0,0.0,3390463.18,1,0,0,26.4301369863013,58
23258271,Outflow Risk,0.0,0.9693,0.0307,0.9693,0.0,0.0,1240625.0,1,0,0,2.95068493150684,76
2587846,Outflow Risk,0.0,0.9693,0.0307,0.9693,0.0,0.0,102001.25,1,0,0,12.10136986,45
1513823,Outflow Risk,0.0,0.9682,0.0318,0.9682,0.0,0.0,1538636.62,1,0,0,40.35342466,72
23338921,Outflow Risk,0.0,0.9681,0.0319,0.9681,0.0,0.0,110000.0,1,0,0,2.92602739726027,64
5743427,Outflow Risk,0.0,0.968,0.032,0.968,0.0,0.0,322388.07,1,0,0,7.13150684931506,55
2225935,Outflow Risk,0.009,0.9606,0.0304,0.9678,876342.29,0.0,2435390.69,1,0,1,13.28767123,83
1765889,Outflow Risk,0.0113,0.9588,0.0299,0.9678,211570.0,0.0,2883781.38,1,0,1,10.64657534,72
3305261,Outflow Risk,0.0,0.9674,0.0326,0.9674,0.0,0.0,125000.0,1,0,0,10.0520547945205,79
672915,Outflow Risk,0.0,0.9666,0.0334,0.9666,0.0,0.0,540344.81,1,0,0,17.95342466,68
20067135,Outflow Risk,0.0,0.9657,0.0343,0.9657,0.0,0.0,450000.0,1,0,0,3.7972602739726,57
6270065,Outflow Risk,0.0003,0.9655,0.0342,0.9657,0.0,0.0,261491.34,1,0,0,22.0219178082191,46
25286955,Outflow Risk,0.0,0.9647,0.0353,0.9647,0.0,0.0,1350411.65,1,0,0,2.54520547945205,73
286725,Outflow Risk,0.0,0.9636,0.0364,0.9636,0.0,0.0,413006.01,1,0,0,18.53972603,90
1720587,Outflow Risk,0.0,0.9636,0.0364,0.9636,0.0,0.0,615256.38,1,0,0,14.91506849,79
6231247,Outflow Risk,0.0,0.9628,0.0372,0.9628,0.0,0.0,867668.39,1,0,0,27.5945205479452,83
