PartyId,total_cytd_outflow,total_cytd_inflow,has_large_withdrawal,prob_outflow_risk,direction_flag,action_priority_score
19086115,375000.0,0.0,0,0.1533,Neutral,0.1565
1391796,374732.82,0.0,0,0.0773,Neutral,0.0774
4063349,374290.02,0.0,0,0.1425,Neutral,0.1426
6387278,373111.12,0.0,0,0.1244,Neutral,0.1245
27134869,372795.92,0.0,1,0.9838,Outflow Risk,0.9838
22083082,372737.16,0.0,0,0.0709,Neutral,0.0711
114041,372598.61,0.0,0,0.2729,Neutral,0.273
133529,372302.84,0.0,0,0.1432,Neutral,0.1436
4964035,372135.24,0.0,0,0.1318,Neutral,0.132
54342,371431.7,0.0,0,0.1487,Neutral,0.1488
19066204,371120.0,0.0,0,0.1138,Neutral,0.1143
1392122,370876.8,0.0,0,0.0385,Neutral,0.0386
10933,370611.16,0.0,1,0.9947,Outflow Risk,0.9947
3017272,370332.33,0.0,0,0.1673,Neutral,0.1673
662828,370000.0,0.0,1,0.997,Outflow Risk,0.997
3446576,369608.709999999,0.0,1,0.9963,Outflow Risk,0.9963
217489,369600.0,0.0,0,0.2011,Neutral,0.2015
6034228,368125.87,0.0,0,0.1768,Neutral,0.1772
1678193,367612.49,0.0,0,0.0688,Neutral,0.0688
17342149,367500.0,0.0,0,0.0831,Neutral,0.0836
6203383,367493.57,0.0,0,0.0743,Neutral,0.0743
19065220,367200.0,0.0,0,0.0921,Neutral,0.0935
822443,367200.0,0.0,0,0.1307,Neutral,0.1312
3650516,367006.75,0.0,1,0.9773,Outflow Risk,0.9773
2525156,367000.0,0.0,1,0.9969,Outflow Risk,0.9969
3659798,366891.55,0.0,0,0.0996,Neutral,0.1001
31014787,366666.68,0.0,1,0.9743,Outflow Risk,0.9743
23277392,366132.89,0.0,0,0.1734,Neutral,0.1741
22092641,365839.91,0.0,1,0.9772,Outflow Risk,0.9772
23277506,365699.72,0.0,0,0.1264,Neutral,0.1272
3858467,365381.41,0.0,1,0.9942,Outflow Risk,0.9942
1093108,364683.88,0.0,0,0.0732,Neutral,0.0733
5658993,364000.0,0.0,1,0.9914,Outflow Risk,0.9914
910439,364000.0,0.0,1,0.9843,Outflow Risk,0.9843
1514972,363960.01,0.0,0,0.1221,Neutral,0.1222
15640009,362815.02,0.0,0,0.058,Neutral,0.0592
1878080,361998.0,0.0,0,0.1735,Neutral,0.1736
19067127,361900.0,0.0,0,0.1662,Neutral,0.1663
286220,361900.0,0.0,0,0.1133,Neutral,0.1133
17803457,361772.0,0.0,0,0.0976,Neutral,0.098
286626,361766.66,0.0,0,0.1237,Neutral,0.1237
3731222,361689.76,0.0,1,0.9806,Outflow Risk,0.9806
773989,361619.0,0.0,0,0.1149,Neutral,0.1154
1625056,361249.83,0.0,0,0.0995,Neutral,0.0995
10731876,360798.32,0.0,0,0.1582,Neutral,0.1582
16026147,360655.74,0.0,1,0.9937,Outflow Risk,0.9937
2522429,360200.0,0.0,0,0.1208,Neutral,0.1209
18156711,360000.0,0.0,0,0.1445,Neutral,0.1446
64451,359999.82,0.0,0,0.1573,Neutral,0.1577
1989290,359999.82,0.0,0,0.124,Neutral,0.1242
1926597,359985.81,0.0,0,0.1687,Neutral,0.1696
241588,359668.76,0.0,0,0.1387,Neutral,0.1387
3061354,358887.51,0.0,0,0.0675,Neutral,0.0676
319640,358800.0,0.0,0,0.2019,Neutral,0.2019
5953951,358534.1,0.0,0,0.2898,Neutral,0.29
1242083,358152.59,0.0,0,0.0709,Neutral,0.071
6222194,358081.11,0.0,0,0.1723,Neutral,0.1728
5663729,358000.0,0.0,0,0.0872,Neutral,0.0873
1191604,356885.0,0.0,0,0.1572,Neutral,0.1573
22087748,356524.05,0.0,0,0.1348,Neutral,0.135
15733174,356212.86,0.0,1,0.9449,Outflow Risk,0.9449
23024304,355314.79,0.0,1,0.9459,Outflow Risk,0.9459
5992989,354571.43,0.0,0,0.1347,Neutral,0.1351
3212245,354404.39,0.0,0,0.1347,Neutral,0.1352
21918285,354073.3,0.0,0,0.1232,Neutral,0.1277
205560,354003.25,0.0,0,0.0516,Neutral,0.0517
6086378,353925.72,0.0,0,0.2204,Neutral,0.2214
794345,353891.08,0.0,0,0.1937,Neutral,0.1938
3031669,353845.18,0.0,0,0.0934,Neutral,0.0935
173301,353500.0,0.0,0,0.0951,Neutral,0.0951
309894,353157.23,0.0,1,0.9972,Outflow Risk,0.9972
5676561,352682.58,0.0,0,0.0976,Neutral,0.0978
14520,352396.1,0.0,0,0.1135,Neutral,0.1141
17803425,351900.0,0.0,0,0.1329,Neutral,0.1329
4013013,351487.13,0.0,1,0.9705,Outflow Risk,0.9705
235409,351380.16,0.0,0,0.1464,Neutral,0.1469
581417,351229.18,0.0,0,0.1196,Neutral,0.1201
17800351,350082.91,0.0,0,0.0816,Neutral,0.0817
678813,349705.6,0.0,0,0.0585,Neutral,0.0586
3505626,348750.0,0.0,0,0.0937,Neutral,0.0942
1109652,348000.0,0.0,0,0.1551,Neutral,0.1556
249920,347887.84,0.0,0,0.1859,Neutral,0.1863
708989,347040.0,0.0,0,0.1725,Neutral,0.1736
23070580,346949.6,0.0,1,0.9932,Outflow Risk,0.9932
16675303,344300.0,0.0,0,0.1066,Neutral,0.1066
12467486,344250.0,0.0,0,0.1564,Neutral,0.1569
1407185,343470.33,0.0,0,0.1496,Neutral,0.1501
61298,343433.8,0.0,0,0.1182,Neutral,0.1187
25019,343349.48,0.0,0,0.094,Neutral,0.0941
1745287,343346.23,0.0,0,0.0909,Neutral,0.0915
99037,342685.87,0.0,0,0.1234,Neutral,0.1235
1453633,342400.0,0.0,0,0.0632,Neutral,0.0634
5980689,342356.82,0.0,1,0.996,Outflow Risk,0.996
1347331,342300.0,0.0,0,0.067,Neutral,0.067
5791177,341490.53,0.0,1,0.9944,Outflow Risk,0.9944
3857179,340202.2,0.0,0,0.0884,Neutral,0.0889
6073896,339779.51,0.0,1,0.998,Outflow Risk,0.998
4635711,339500.0,0.0,1,0.9977,Outflow Risk,0.9977
4194934,339500.0,0.0,0,0.1103,Neutral,0.1107
22168271,339026.34,0.0,0,0.1157,Neutral,0.1163
2149384,338850.0,0.0,0,0.1468,Neutral,0.1468
6070397,338800.0,0.0,0,0.2586,Neutral,0.2591
12232406,338455.01,0.0,1,0.9921,Outflow Risk,0.9921
846132,338364.33,0.0,0,0.1256,Neutral,0.1261
11453501,338300.0,0.0,0,0.0928,Neutral,0.0933
12717751,338183.19,0.0,0,0.0612,Neutral,0.0613
19062660,337879.4,0.0,0,0.0491,Neutral,0.0493
841868,337077.45,0.0,0,0.1284,Neutral,0.1284
2275265,336620.28,0.0,0,0.0543,Neutral,0.0543
1400177,336186.46,0.0,0,0.052,Neutral,0.0521
1140149,336175.31,0.0,1,0.9925,Outflow Risk,0.9925
16787346,336078.95,0.0,0,0.124,Neutral,0.1245
184721,335616.45,0.0,0,0.16,Neutral,0.1605
1246871,335520.11,0.0,0,0.3139,Neutral,0.314
6156819,334573.63,0.0,0,0.1494,Neutral,0.1496
135405,334125.5,0.0,0,0.2061,Neutral,0.2065
329944,333938.33,0.0,0,0.1317,Neutral,0.1317
244917,333484.34,0.0,1,0.9976,Outflow Risk,0.9976
1764100,333461.97,0.0,0,0.1007,Neutral,0.1008
6050708,333338.58,0.0,0,0.1082,Neutral,0.1083
324777,333151.83,0.0,1,0.9972,Outflow Risk,0.9972
2787,333053.55,0.0,0,0.1399,Neutral,0.14
346290,332907.1,0.0,0,0.1151,Neutral,0.1151
3847988,332870.52,0.0,0,0.0912,Neutral,0.0917
1116241,332500.0,0.0,0,0.1229,Neutral,0.1229
22214414,331983.339999999,0.0,1,0.9748,Outflow Risk,0.9748
