PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank,cluster,segment_name
34910803,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,127,2,Client Household Members
4576514,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,128,2,Client Household Members
28845682,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,129,0,Older Wealth-Adjacent (60+)
11224866,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,130,0,Older Wealth-Adjacent (60+)
2601906,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,131,0,Older Wealth-Adjacent (60+)
10886125,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,132,0,Older Wealth-Adjacent (60+)
10767237,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,133,0,Older Wealth-Adjacent (60+)
4483370,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,134,0,Older Wealth-Adjacent (60+)
11001036,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,135,0,Older Wealth-Adjacent (60+)
5760995,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,136,0,Older Wealth-Adjacent (60+)
11781052,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,137,0,Older Wealth-Adjacent (60+)
731710,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,138,0,Older Wealth-Adjacent (60+)
11438450,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,139,0,Older Wealth-Adjacent (60+)
4576538,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,140,0,Older Wealth-Adjacent (60+)
27269660,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,141,0,Older Wealth-Adjacent (60+)
14856131,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,142,0,Older Wealth-Adjacent (60+)
10996000,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,143,0,Older Wealth-Adjacent (60+)
27513821,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,144,0,Older Wealth-Adjacent (60+)
10997012,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,145,0,Older Wealth-Adjacent (60+)
14194224,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,146,2,Client Household Members
2960740,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,147,2,Client Household Members
702011,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,148,0,Older Wealth-Adjacent (60+)
15375804,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,149,0,Older Wealth-Adjacent (60+)
15376089,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,150,0,Older Wealth-Adjacent (60+)
10996630,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,151,0,Older Wealth-Adjacent (60+)
32900378,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,152,0,Older Wealth-Adjacent (60+)
4780,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,153,0,Older Wealth-Adjacent (60+)
4580174,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,154,0,Older Wealth-Adjacent (60+)
10945998,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,155,0,Older Wealth-Adjacent (60+)
14589991,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,156,0,Older Wealth-Adjacent (60+)
731711,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,157,0,Older Wealth-Adjacent (60+)
4373288,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,158,0,Older Wealth-Adjacent (60+)
26937740,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,159,0,Older Wealth-Adjacent (60+)
15412859,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,160,0,Older Wealth-Adjacent (60+)
4701042,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,161,0,Older Wealth-Adjacent (60+)
35297820,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,162,0,Older Wealth-Adjacent (60+)
2630068,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,163,0,Older Wealth-Adjacent (60+)
35297819,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,164,0,Older Wealth-Adjacent (60+)
10755634,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,165,0,Older Wealth-Adjacent (60+)
10757633,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,166,0,Older Wealth-Adjacent (60+)
5754361,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,167,2,Client Household Members
10882174,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,168,2,Client Household Members
3948305,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,169,0,Older Wealth-Adjacent (60+)
10769776,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,170,0,Older Wealth-Adjacent (60+)
10768354,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,171,0,Older Wealth-Adjacent (60+)
10997050,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,172,0,Older Wealth-Adjacent (60+)
6086971,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,173,0,Older Wealth-Adjacent (60+)
6872,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,174,0,Older Wealth-Adjacent (60+)
6086972,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,175,0,Older Wealth-Adjacent (60+)
25389268,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,176,2,Client Household Members
5895839,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,177,2,Client Household Members
11033046,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,178,0,Older Wealth-Adjacent (60+)
10811755,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,179,0,Older Wealth-Adjacent (60+)
