PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank
5837838,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,104
1260151,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,105
6009188,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,106
10992819,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,107
2241456,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,108
10992668,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,109
2253123,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,110
846104,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,111
6025358,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,112
18600552,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,113
18600555,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,114
18600549,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,115
3618285,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,116
4690075,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,117
10803943,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,118
150679,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,119
3769036,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,120
286683,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,121
17401967,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9704898,Very High,Responsible Party,Responsible Party,122
30754056,62.0,1.0,19104.89,0.0,0.0,0.0,0.0,0.96956486,Very High,Additional Grantor,Additional Grantor,123
27307239,63.0,1.0,6.43,0.0,0.0,0.0,0.0,0.9694847,Very High,Additional Grantor,Additional Grantor,124
30314853,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.96780753,Very High,Additional Grantor,Additional Grantor,125
10901010,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,126
34910803,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,127
4576514,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,128
28845682,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,129
11224866,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,130
2601906,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,131
10886125,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,132
10767237,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,133
4483370,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,134
11001036,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,135
5760995,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,136
11781052,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,137
731710,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,138
11438450,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,139
4576538,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,140
27269660,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,141
14856131,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,142
10996000,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,143
27513821,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,144
10997012,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,145
14194224,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,146
2960740,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,147
702011,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,148
15375804,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,149
15376089,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,150
10996630,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,151
32900378,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,152
